X,Y,FID,id,modified,language,rights,rightsHolder,bibliographicCitation,institutionCode,collectionCode,basisOfRecord,catalogNumber,occurrenceRemarks,individualID,individualCount,sex,occurrenceStatus,eventDate,year,waterBody,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,georeferenceRemarks,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
18724494.9489,-3362466.6727,996,296,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64031 - 37),NIWA,MBIS White shark tagging,Occurrence,Shark 64031 - 37,Immature female 350 cm (TL),Shark 64031,1,female,present,,,Pacific Ocean,-28.8964,168.205,WGS84,10000,POINT (168.205 -28.8964),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18724049.6709,-3355233.7982,997,297,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64031 - 38),NIWA,MBIS White shark tagging,Occurrence,Shark 64031 - 38,Immature female 350 cm (TL),Shark 64031,1,female,present,,,Pacific Ocean,-28.8395,168.201,WGS84,10000,POINT (168.201 -28.8395),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18740524.9556,-3358500.1774,998,298,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64031 - 39),NIWA,MBIS White shark tagging,Occurrence,Shark 64031 - 39,Immature female 350 cm (TL),Shark 64031,1,female,present,,,Pacific Ocean,-28.8652,168.349,WGS84,10000,POINT (168.349 -28.8652),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18704568.76,-3354369.6772,999,299,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64031 - 40),NIWA,MBIS White shark tagging,Occurrence,Shark 64031 - 40,Immature female 350 cm (TL),Shark 64031,1,female,present,,,Pacific Ocean,-28.8327,168.026,WGS84,10000,POINT (168.026 -28.8327),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18684197.2932,-3349605.3178,1000,300,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64031 - 41),NIWA,MBIS White shark tagging,Occurrence,Shark 64031 - 41,Immature female 350 cm (TL),Shark 64031,1,female,present,,,Pacific Ocean,-28.7952,167.843,WGS84,10000,POINT (167.843 -28.7952),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18797743.1738,-5765058.4635,1001,1801,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 55),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 55,,Shark S21,1,,present,,,Pacific Ocean,-45.9045,168.863,WGS84,10000,POINT (168.863 -45.9045),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18730394.8819,-5750816.1289,1002,1802,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 56),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 56,,Shark S21,1,,present,,,Pacific Ocean,-45.8154,168.258,WGS84,10000,POINT (168.258 -45.8154),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18609279.2759,-5800724.4688,1003,1803,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 57),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 57,,Shark S21,1,,present,,,Pacific Ocean,-46.127,167.17,WGS84,10000,POINT (167.17 -46.127),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18645235.4714,-5863314.4672,1004,1804,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 58),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 58,,Shark S21,1,,present,,,Pacific Ocean,-46.5153,167.493,WGS84,10000,POINT (167.493 -46.5153),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
18645235.4714,-5863314.4672,1005,1805,2014/02/11 11:00:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark S21 - 59),NIWA,MBIS White shark tagging,Occurrence,Shark S21 - 59,,Shark S21,1,,present,,,Pacific Ocean,-46.5153,167.493,WGS84,10000,POINT (167.493 -46.5153),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
