X,Y,FID,id,modified,language,rights,rightsHolder,bibliographicCitation,institutionCode,collectionCode,basisOfRecord,catalogNumber,occurrenceRemarks,individualID,individualCount,sex,occurrenceStatus,eventDate,year,waterBody,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,footprintWKT,georeferenceRemarks,scientificNameID,scientificName,kingdom,phylum,class,order_,family,genus,subgenus,specificEpithet,infraspecificEpithet,scientificNameAuthorship
-19648669.36,-5483690.139,1,701,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 33),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 33,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-44.1178,-176.507,WGS84,10000,POINT (-176.507 -44.1178),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19590671.91,-5500172.389,2,1,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 1),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 1,Immature female 420-450 cm (TL),Shark 57033,1,female,present,2005/4/9,2005,Pacific Ocean,-44.224,-175.986,WGS84,10000,POINT (-175.986 -44.224),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19639429.84,-5471913.11,3,702,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 34),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 34,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-44.0418,-176.424,WGS84,10000,POINT (-176.424 -44.0418),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19550819.53,-5404593.989,4,703,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 35),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 35,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-43.6055,-175.628,WGS84,10000,POINT (-175.628 -43.6055),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19576200.37,-5629900.629,5,2,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 2),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 2,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.0532,-175.856,WGS84,10000,POINT (-175.856 -45.0532),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19502506.87,-5343700.621,6,704,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 64037 - 36),NIWA,MBIS White shark tagging,Occurrence,Shark 64037 - 36,Immature female 300 cm (TL),Shark 64037,1,female,present,,,Pacific Ocean,-43.2081,-175.194,WGS84,10000,POINT (-175.194 -43.2081),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19598352.95,-5665963.124,7,3,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 3),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 3,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.2816,-176.055,WGS84,10000,POINT (-176.055 -45.2816),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19632639.35,-5650866.858,8,4,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 4),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 4,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.1861,-176.363,WGS84,10000,POINT (-176.363 -45.1861),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19631971.44,-5681877.237,9,5,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 5),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 5,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.3821,-176.357,WGS84,10000,POINT (-176.357 -45.3821),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
-19638205.33,-5727655.138,10,6,2014/2/11 11:00,en,Creative Commons Attribution 3.0 New Zealand Licence,NIWA,Carcharodon carcharias (Shark 57033 - 6),NIWA,MBIS White shark tagging,Occurrence,Shark 57033 - 6,Immature female 420-450 cm (TL),Shark 57033,1,female,present,,2005,Pacific Ocean,-45.6702,-176.413,WGS84,10000,POINT (-176.413 -45.6702),Daily positions were estimated from ambient light data stored on WC PAT4 and Mk10 tags using WC-GPE: Global Position Estimator Program Suite software,urn:lsid:marinespecies.org:taxname:105838,Carcharodon carcharias,Animalia,Chordata,Elasmobranchii,Lamniformes,Lamnidae,Carcharodon,,carcharias,,"(Linnaeus, 1758)"
